
===== clang++-22  group 10  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
8MyFatIntILm8EE        count(miss)                     0.293     0.290    -1.0%     0.289    -1.4%     0.294    +0.3%
8MyFatIntILm8EE        count_if(hit)                   0.294     0.294    +0.0%     0.292    -0.7%     0.294    +0.0%
8MyFatIntILm8EE        count_if(miss)                  0.294     0.294    +0.0%     0.292    -0.7%     0.294    +0.0%
8MyFatIntILm8EE        fill                            1.038     1.035    -0.3%     1.013    -2.4%     1.039    +0.1%
8MyFatIntILm8EE        fill_n                          1.040     1.038    -0.2%     1.038    -0.2%     1.039    -0.1%
8MyFatIntILm8EE        find(hit)                       0.132     0.164   +24.2%     0.147   +11.4%     0.131    -0.8%
8MyFatIntILm8EE        find(miss)                      0.288     0.318   +10.4%     0.291    +1.0%     0.289    +0.3%
8MyFatIntILm8EE        find_if(hit)                    0.132     0.131    -0.8%     0.130    -1.5%     0.131    -0.8%
8MyFatIntILm8EE        find_if(miss)                   0.289     0.289    +0.0%     0.287    -0.7%     0.290    +0.3%
8MyFatIntILm8EE        find_if_not(hit)                0.132     0.131    -0.8%     0.130    -1.5%     0.131    -0.8%
8MyFatIntILm8EE        find_if_not(miss)               0.289     0.289    +0.0%     0.287    -0.7%     0.290    +0.3%
8MyFatIntILm8EE        for_each                        0.294     0.294    +0.0%     0.292    -0.7%     0.294    +0.0%
8MyFatIntILm8EE        generate                        0.933     0.932    -0.1%     0.932    -0.1%     0.934    +0.1%
8MyFatIntILm8EE        generate_n                      0.629     0.628    -0.2%     0.627    -0.3%     0.629    +0.0%
8MyFatIntILm8EE        is_partitioned(hit)             0.295     0.289    -2.0%     0.287    -2.7%     0.290    -1.7%
8MyFatIntILm8EE        is_partitioned(miss)            0.131     0.132    +0.8%     0.130    -0.8%     0.131    +0.0%
8MyFatIntILm8EE        none_of(hit)                    0.295     0.289    -2.0%     0.287    -2.7%     0.290    -1.7%
8MyFatIntILm8EE        none_of(miss)                   0.132     0.131    -0.8%     0.130    -1.5%     0.131    -0.8%
8MyFatIntILm8EE        replace(hit)                    0.304     0.305    +0.3%     0.307    +1.0%     0.313    +3.0%
8MyFatIntILm8EE        replace(miss)                   0.315     0.317    +0.6%     0.297    -5.7%     0.298    -5.4%
8MyFatIntILm8EE        replace_if(hit)                 0.408     0.360   -11.8%     0.384    -5.9%     0.362   -11.3%
8MyFatIntILm8EE        replace_if(miss)                0.308     0.321    +4.2%     0.390   +26.6%     0.334    +8.4%

===== clang++-22  group 25  (launches: {'base': 5, 'T': 5, 'F': 5, 'H': 5}) =====
vt                     algo                             base         T     T d%         F     F d%         H     H d%
